;;;1;2;3;4;5;6;7;8;Acc.AVG;3-Max
;RANK;;RobustGCN;GCN(LN);GIN;GraphSAGE;TAGCN;APPNP;SGCN;GCN;;
1;TDGIA;Easy;0.6791;0.6194;0.4179;0.4776;0.4552;0.4216;0.4291;0.4254;0.5317;0.5734
;;Medium;0.7948;0.7799;0.4552;0.5;0.4403;0.3881;0.3881;0.4104;0.5201;0.6368
;;Hard;0.8619;0.8843;0.5522;0.694;0.5858;0.5;0.4739;0.5224;0.5275;0.6878
2;SPEIT;Easy;0.7873;0.4776;0.1978;0.2836;0.2052;0.1903;0.209;0.2015;0.319;0.5162
;;Medium;0.8284;0.6754;0.2649;0.4813;0.2537;0.2873;0.25;0.2201;0.4076;0.6617
;;Hard;0.8993;0.8507;0.2463;0.5075;0.2425;0.1791;0.2015;0.1642;0.4114;0.7525
3;FGSM;Easy;0.6306;0.5597;0.5261;0.4776;0.5299;0.5187;0.5224;0.4888;0.4907;0.592
;;Medium;0.7463;0.6269;0.4552;0.3955;0.4813;0.5373;0.4963;0.4216;0.5196;0.6915
;;Hard;0.8433;0.75;0.4515;0.4179;0.459;0.4701;0.4328;0.3955;0.6343;0.8134
No attack;;;0.8134;0.806;0.7351;0.8246;0.8358;0.8433;0.847;0.8321;0.8172;0.842
Avg.Robust Accuracy;;;0.7857;0.6915;0.3963;0.4706;0.4059;0.3881;0.3781;0.3611;-;-
Avg. Degradation;;;0.0277;0.1145;0.3388;0.354;0.4299;0.4552;0.4689;0.471;-;-
